external_gene_name,Log2FC BATF-KO to WT,-log10 p value
Gnai3,0.05755852,0.178118458
Cdc45,0.222379713,0.382370212
H19,4.30732388,1.007622275
Narf,0.053767655,0.105302522
Klf6,-0.230331582,0.748794403
Scmh1,0.100576617,0.274756739
Cox5a,0.146272635,1.120948792
Xpo6,0.052612794,0.115371817
Tfe3,-0.026998134,0.673357146
Axin2,0.049542636,0.111838165
Brat1,-0.085989957,0.382716208
Gna12,0.324424152,1.413443199
Pih1d2,-0.262199754,1.276303422
Dlat,0.25980503,0.145006604
Sdhd,0.029169865,0.150489845
Ccnd2,0.055871104,0.02615452
Gpr107,-0.014163782,0.065318907
Slfn4,-0.81850561,0.332856717
Tspan32,0.331806795,1.515437049
Trim25,0.050923656,1.475274008
Dgke,0.015945942,0.017388575
Scpep1,0.185597988,1.397407054
Mnt,-0.140590447,0.34840096
Itgb2,0.211304208,0.491079105
Hddc2,0.136424298,1.116071663
Pemt,0.777598532,0.358940116
Cdh1,1.101328378,0.442744274
Arvcf,0.329906367,1.093713179
Comt,0.386606394,0.3948289
Rtca,0.120817785,0.4163865
Dbt,-0.065810487,0.472461652
Dazap2,0.083966759,0.863156967
Mcts1,0.155917425,0.223080868
Trappc10,0.007503113,0.018216865
Ccm2,-0.135741398,0.273041311
Tbrg4,-0.096727996,0.228259002
Mx1,-0.600943377,1.327246083
Ndufa9,0.154637568,0.366093337
Lck,0.108499613,0.121974745
Galnt1,0.1499253,0.447262171
Mkrn2,0.014364676,0.064460785
Raf1,-0.038578166,0.099314772
Septin1,0.136541953,0.417159756
Pdgfb,0.427224667,0.247315037
Acvrl1,-0.159702618,0.187468284
Grasp,0.066106092,0.008036149
Acvr1b,0.011366345,0.051195844
Tom1l2,-0.191687818,0.313308644
Itga5,0.168879726,0.16046231
Wdr77,-0.101380729,0.217437636
Atp5pb,0.232893099,1.234844703
Hnrnpd,0.029276991,0.038395066
Dynlt1c,-0.315814864,0.598654197
C1d,0.21261927,1.001322914
Gm2a,0.059945954,0.124942632
Krit1,-0.190772134,0.462890161
Clcn4,0.007467854,0.030223029
Grm6,-0.862800634,0.614374997
Sema4f,-0.295976263,0.498213527
Hk2,-0.19186544,0.275679738
Myo18a,0.327652116,0.850689673
Haao,-0.348504056,0.413567411
Cd52,0.145550214,0.334976791
Abhd15,0.076458284,0.015193038
Kat2b,-0.406157039,1.28917553
Rab5b,-0.033365993,0.434265727
Icosl,0.23319193,0.036004777
Spg7,0.0312177,0.219574245
Rpl13,-0.002042043,0.019453842
Chmp1a,0.01156612,0.093523872
Rpa1,0.268495458,1.260811499
Tubgcp3,-0.223773306,0.835760057
Polr3d,-0.323201465,1.020265307
Tcf7,-0.075474997,0.217671264
Ddx3x,-0.075185751,0.14373801
Il12rb1,-0.722560241,0.383037717
Usp32,-0.530180524,0.947412565
Txnrd3,0.089831597,0.019414837
Fasl,-0.862354157,0.823164302
Zfp512b,-0.176610785,1.414134712
Dnajc5,-0.118902529,0.699161792
Tpd52l2,-0.045797669,0.276947859
Fmr1,-0.029601319,0.077825027
Bcl11a,0.428616407,0.557546813
Pxmp4,0.449036557,0.892727169
Dlg3,-0.061244069,0.192282618
Gnb1l,-0.056013514,0.144666309
Mmp11,0.429399885,0.165649849
Smarcb1,0.24530008,0.674677958
Vpreb3,-0.723159795,0.953896089
Hip1r,-0.248852517,0.499834946
Nsun5,-0.225477446,1.2023288
Top1mt,0.098502056,0.176587962
Mmp14,1.411230785,0.703716134
Oxa1l,0.066157299,0.231952547
Heatr6,-0.338838954,1.188080456
Ccl3,-0.668517341,0.36580254
Ilf2,0.138025402,0.523053689
Chtop,0.061957667,0.12610618
Snapin,0.01947151,0.054176932
