external_gene_name,Log2FC RARa-KO to WT,-log10 p value
Gnai3,0.11164489,0.295202529
Cdc45,-0.149901537,0.139528199
H19,0.394444871,0.149763971
Narf,-0.155629718,0.184107402
Klf6,0.322879879,0.345786625
Scmh1,-0.218040459,0.502444476
Cox5a,0.114311858,0.3335828
Xpo6,0.196293874,0.994609708
Tfe3,0.037001542,0.228901857
Axin2,-0.354497962,1.271776941
Brat1,-0.14901946,0.322366513
Gna12,-0.115301144,0.198643717
Pih1d2,0.108008102,1.238704703
Dlat,0.376137915,1.990877483
Sdhd,-0.081528761,1.194675628
Ccnd2,0.513015424,0.587850423
Gpr107,0.053993512,0.272523065
Slfn4,1.913149586,0.705699474
Tspan32,-0.125306136,1.176279453
Trim25,0.499161675,0.485165084
Dgke,-0.779426744,2.055486022
Scpep1,1.669561391,1.407057876
Mnt,0.047365902,0.322825105
Itgb2,0.370557678,0.737633399
Hddc2,0.065503631,0.368590887
Pemt,0.149357157,0.953896089
Cdh1,0.211005736,0.203657503
Arvcf,0.581064113,0.262854454
Comt,0.270178587,0.804767405
Rtca,-0.00155861,0.020649507
Dbt,-0.068735117,1.295871611
Dazap2,0.094762104,0.640627168
Mcts1,-0.009748064,0.072148133
Trappc10,0.073581652,0.518192705
Ccm2,-0.314241514,1.402052124
Tbrg4,0.219942225,1.569243854
Mx1,1.652794105,0.503821952
Ndufa9,-0.049640404,0.412599627
Lck,-0.254920726,1.012526326
Galnt1,0.112960921,0.246211103
Mkrn2,-0.137394258,0.88692098
Raf1,0.014116422,0.019004773
Septin1,-0.270070509,1.052702318
Pdgfb,0.189384051,0.815599296
Acvrl1,0.474276703,0.615757937
Grasp,0.642768663,0.886204526
Acvr1b,0.14186904,0.392315863
Tom1l2,-0.253556127,0.922197995
Itga5,0.298041477,0.43239383
Wdr77,0.042472849,0.157636033
Atp5pb,0.011466743,0.015243253
Hnrnpd,0.094729153,0.616835011
Dynlt1c,-0.269873307,0.256687662
C1d,-0.05838506,0.138783504
Gm2a,-0.120307493,0.557959995
Krit1,-0.078453889,0.176539753
Clcn4,-0.000202605,0.001465315
Grm6,-0.693239016,0.464321064
Sema4f,-0.607167767,1.437561472
Hk2,0.370973398,0.215491989
Myo18a,0.721871846,0.700645058
Haao,-0.698837853,0.453670552
Cd52,-0.075547957,0.425054482
Abhd15,-0.857578426,0.820965551
Kat2b,-0.302904903,0.86302982
Rab5b,-0.029868211,0.105424352
Icosl,2.629849765,1.298415609
Spg7,0.000578124,0.001884875
Rpl13,-0.177576931,0.812300085
Chmp1a,-0.024007212,0.058806622
Rpa1,0.015633822,0.023853064
Tubgcp3,-0.05879783,0.330617207
Polr3d,0.296216948,0.335078307
Tcf7,-0.231167094,0.941396398
Ddx3x,0.133393364,1.06546959
Il12rb1,0.950087297,0.732750334
Usp32,-0.029884558,0.047936088
Txnrd3,0.382538721,0.606098349
Fasl,1.594649636,0.842152456
Zfp512b,-0.265533805,0.512343262
Dnajc5,-0.033399547,0.154818491
Tpd52l2,0.154086253,0.302544484
Fmr1,-0.054814796,0.150023058
Bcl11a,2.798430363,0.922126532
Pxmp4,-0.030912956,0.038758155
Dlg3,0.30146241,0.365449378
Gnb1l,0.05461895,0.188686703
Mmp11,-0.501263207,1.029502716
Smarcb1,0.127204348,0.719458016
Vpreb3,2.257076951,0.90422307
Hip1r,0.222687113,0.470790415
Nsun5,0.10500137,0.148593037
Top1mt,0.347196165,0.856909325
Mmp14,1.536339708,0.449506379
Oxa1l,0.008899308,0.025329919
Heatr6,-0.023240641,0.089436449
Ccl3,0.812168519,0.35847731
Ilf2,0.160054383,0.791296547
Chtop,0.020547543,0.027863519
Snapin,-0.087117672,0.110436304
S100a4,2.501352526,0.538246153
S100a6,1.541529282,0.467242821
