external_gene_name,Log2 FC,-Log10 p values
Gnai3,-0.051796514,0.467986541
Cdc45,0.421630272,0.621250264
H19,1.094182439,0.370527255
Narf,-0.033715727,0.143347483
Klf6,-0.188074971,1.329315172
Scmh1,-0.065138203,0.073228339
Cox5a,0.419646934,0.344712872
Xpo6,0.153751956,0.503726194
Tfe3,-0.021898659,0.032216736
Axin2,-0.387512701,0.499226308
Brat1,-0.055627322,0.384771479
Gna12,0.17091684,0.761094588
Pih1d2,0.600555366,0.668163813
Dlat,0.450034054,0.767468655
Sdhd,0.222979372,0.278464661
Ccnd2,-0.043709061,0.148626664
Gpr107,-0.13382905,0.227033579
Slfn4,-0.649092838,0.631248153
Tspan32,-0.079990285,0.141105476
Trim25,-0.008008509,0.010116789
Dgke,-0.066668336,0.139345491
Scpep1,0.054946602,0.171281683
Mnt,-0.068087095,0.579822524
Itgb2,0.296293455,0.591588146
Hddc2,0.371548584,0.594113196
Pemt,0.652718063,0.377613318
Cdh1,-0.239966611,0.259514598
Arvcf,0.501005293,0.169301607
Comt,0.150948984,0.186669489
Rtca,0.118261507,0.301029996
Dbt,-0.063678008,0.548695555
Dazap2,0.020990078,0.971530957
Mcts1,0.083584664,0.983576545
Trappc10,-0.116678035,0.408081088
Ccm2,-0.229029541,0.597832394
Tbrg4,0.236186541,0.279967371
Mx1,0.216027103,0.321356661
Ndufa9,0.073826068,0.442155538
Lck,-0.15292165,0.299920309
Galnt1,0.030679104,0.625007333
Mkrn2,-0.505907924,1.179425843
Raf1,0.014953721,0.424989788
Septin1,-0.014309899,0.249393048
Pdgfb,0.214521063,0.187821022
Acvrl1,-1.62881679,1.047955754
Grasp,0.584053925,0.700192501
Acvr1b,-0.100742215,0.233497189
Tom1l2,-0.317288194,0.491027547
Itga5,0.110415255,0.13619978
Wdr77,0.092350129,0.139986792
Atp5pb,0.211349383,0.448232936
Hnrnpd,0.058980676,0.273205591
Dynlt1c,-0.38814359,0.83629533
C1d,0.09490182,0.120087012
Gm2a,-0.37955628,0.576334041
Krit1,-0.236562262,0.548773647
Clcn4,-0.192256656,0.47183151
Grm6,-1.130786608,0.713625773
Sema4f,-0.078343675,0.204460236
Hk2,0.356594624,0.308099026
Myo18a,-0.157274181,0.321998837
Haao,-0.327938582,0.347127294
Cd52,-0.259797985,0.668360695
Abhd15,-0.904165084,0.565671312
Kat2b,-0.329713024,0.355717128
Rab5b,-0.151736098,0.603062222
Icosl,-0.039160416,0.140781769
Spg7,0.083861553,0.870485872
Rpl13,0.131905594,0.30810658
Chmp1a,0.045935834,0.164881615
Rpa1,0.141792515,1.226520696
Tubgcp3,-0.158723577,1.188846534
Polr3d,0.310895221,1.084315394
Tcf7,-0.241338443,0.433676197
Ddx3x,-0.141690939,0.725698801
Il12rb1,0.560321894,1.024562469
Usp32,-0.500702463,1.528094731
Txnrd3,0.799374669,0.864681531
Fasl,-0.644951298,0.369304272
Zfp512b,-0.134538951,0.268135047
Dnajc5,-0.08267349,0.221580877
Tpd52l2,0.114836679,0.532323593
Fmr1,-0.166578731,0.544998306
Bcl11a,-0.001713692,0.041118262
Pxmp4,0.126874371,0.386735083
Dlg3,1.438031296,1.009806852
Gnb1l,0.176579334,1.20740555
Mmp11,-0.437206345,0.445814234
Smarcb1,0.208302099,0.349525993
Vpreb3,1.219558606,0.49742345
Hip1r,-0.147776755,0.63710406
Nsun5,0.094778358,1.059504129
Top1mt,0.321615635,1.302857317
Mmp14,-0.149751993,0.328172361
Oxa1l,0.064885776,0.462653568
Heatr6,-0.189894408,0.656292271
Ccl3,0.45617779,0.260868583
Ilf2,0.256813853,0.448627767
Chtop,0.021379198,0.088060443
Snapin,-0.178683845,0.586658739
S100a4,-0.842274154,0.442305848
S100a6,-1.666399353,0.870389112
Scn4a,0.634482637,0.615757937
Icam2,0.149864989,1.793232221
Mapk7,-0.34618714,2.0594699
B9d1,0.940841484,0.139704006
Sec24b,0.034866723,0.337207731
N4bp3,0.160088773,0.24734882
Rmnd5b,-0.092336192,0.443845514
Nhp2,0.544915882,0.511173502
Vps9d1,0.133891841,0.516691353
Zfp276,-0.067141978,0.392488765
Mfsd10,0.037735108,0.036678987
Luzp1,-0.24517277,0.502444476
Kctd10,-0.16368187,1.211965992
Poldip2,0.151617774,1.251392447
Ift20,0.142469497,0.277188014
Pcbp3,-0.262063239,0.798898046
Lgals9,0.10800391,1.502642586
Araf,-0.12656434,0.310800643
Cfp,0.588393406,0.688600573
Uxt,0.045935774,0.187164823
Cnnm3,0.076889759,1.552699311
Lman2l,0.026520701,0.422808823
Mcm3ap,-0.108646598,1.018514912
Pcnt,-0.131179603,0.331681247
Mxd1,-0.030700664,0.320520964
Gmcl1,-0.077085388,0.525930237
Snrnp27,0.031064052,0.021317247
Oas1c,0.115467089,0.561065559
Ocrl,-0.360396602,0.634142658
Calm1,-0.172635942,0.678630507
Agpat3,0.188450125,0.34831328
Sema6b,0.166005697,0.417932282
Uhrf1,0.46335005,0.419230887
Dpp9,0.082487235,0.200136705
Ramp2,0.858324045,0.569093269
Gramd1a,-0.297203103,0.418268449
Ckb,0.951056236,0.480830269
Sp1,-0.246938787,0.860353205
Itgb7,0.212395532,0.533264825
Myg1,0.182318304,0.836666049
Rarg,-0.398194106,0.696427996
Pfdn5,-0.128435914,0.356816116
Rrp15,0.41498452,0.301029996
Rnd2,0.481270496,0.486057531
Srr,-0.343597659,0.802801017
Acp5,0.643285832,1.836109038
Fbxo9,-0.140135584,0.442610836
Vps50,0.211636509,0.614324634
Hars,0.202175615,0.261775571
Zmat2,0.089803636,0.102183592
Ube2c,-0.199304668,0.870910423
Smg5,0.058756342,0.223081388
Cct3,0.396569176,0.553303944
Glmp,-0.040033666,0.296076854
Mef2d,-0.142518422,0.387897051
Tmem79,0.674257668,0.2497441
Snd1,0.382326751,1.62284927
Slc19a1,0.388663973,0.277938624
Kpnb1,0.106619952,0.17539058
Npepps,0.004893982,0.013826504
Tbx21,1.312246319,1.356847978
Mrpl10,0.144582926,0.502622569
Cyp51,0.142255958,0.18063448
Tcf25,-0.080781341,0.270167048
Tubb6,1.175148894,0.393873708
Def8,0.204691577,1.148442861
Itga3,0.398681604,0.556841581
Foxm1,-0.220573578,0.460486911
Itfg2,0.03709587,0.185722655
Nrip2,-0.066596219,0.115629582
Tulp3,0.05570496,0.059667416
Gtf2h4,0.268590977,1.125223235
Tubb5,0.147588568,0.568387577
Ell2,-0.186251009,0.189017266
Jup,-0.073376221,0.031725645
Nom1,0.270575494,0.339175537
Ergic1,0.322936188,0.518552243
Acap1,-0.545807526,0.566961848
Ifrd1,0.30402715,0.581865866
Stk38l,0.091615522,0.147989482
Brpf1,0.054362091,0.204730526
Akr1b3,0.14088436,0.675391435
Gstt1,0.276153948,0.138033966
Gstt3,0.743104128,0.241568216
Ddt,0.069241649,0.076775086
Ddx18,0.374707024,0.436205913
Ubl3,0.02091064,0.278285455
Gramd3,-0.22196007,0.339846973
Eef1e1,0.254566382,0.743861093
Akt1,0.13215702,0.57796533
