GeneName,X_LogCPM,Y_LogFC,AdjPval,DGE_Category,BATF_invivo_logCPM,BATF_invivo_logCPM,pMIG_invivo_logCPM,pMIG_invivo_logCPM
Mrpl15,7.487,-0.793,0.2412,NotDiff,7.417,6.739,7.831,7.959
Lypla1,7.337,-0.1717,0.8325,NotDiff,7.156,7.383,7.09,7.721
Tcea1,6.318,-0.3369,0.7351,NotDiff,6.153,6.156,6.407,6.558
Atp6v1h,7.137,0.2935,0.7314,NotDiff,7.315,7.269,6.806,7.16
Rb1cc1,3.041,-1.122,0.7027,NotDiff,3.257,1.606,3.299,4.034
Pcmtd1,4.187,0.08658,0.9733,NotDiff,3.724,4.875,3.815,4.347
Rrs1,5.742,-0.2017,0.8678,NotDiff,5.277,6.109,5.444,6.145
Vcpip1,4.102,0.6547,0.7388,NotDiff,3.729,5.313,3.354,4.026
Sgk3,1.075,-5.126,0.4238,NotDiff,2.772,-4.271,3.919,3.645
Snhg6,2.962,0.7109,0.7875,NotDiff,3.655,3.013,2.269,2.94
Cops5,7.519,-0.9503,0.1424,NotDiff,7.515,6.539,7.901,8.123
Cspp1,-0.4132,-2.6,0.7494,NotDiff,2.317,-4.271,1.358,0.7585
Arfgef1,4.356,0.4712,0.7665,NotDiff,4.557,4.644,4.074,4.159
Slco5a1,-4.043,-4.149,0.7351,NotDiff,-4.271,-4.271,2.856,-4.271
Ncoa2,4.394,1.273,0.4231,NotDiff,4.751,5.397,3.495,3.944
Lactb2,4.497,0.3929,0.8014,NotDiff,9.167,10.1,8.012,8.992
Msc,-4.444,-3.412,0.7672,NotDiff,5.156,4.13,4.542,4.17
Terf1,4.171,1.112,0.5119,NotDiff,-4.271,-4.271,1.266,-4.271
Rpl7,10.81,-0.4858,0.3287,NotDiff,4.821,4.676,3.327,3.873
Rdh10,2.828,0.5528,0.8534,NotDiff,10.96,10.16,11.08,11.06
Stau2,0.8222,-0.9949,0.8832,NotDiff,2.491,3.899,2.316,2.64
Ube2w,3.995,-1.057,0.5649,NotDiff,1.114,-0.3939,0.9938,1.717
Tceb1,6.326,-0.6108,0.5163,NotDiff,2.935,4.132,4.326,4.603
Tmem70,6.032,-1.044,0.2391,NotDiff,5.857,6.253,6.187,7.008
Ly96,-1.141,3.465,0.7134,NotDiff,5.376,5.671,6.486,6.596
Mcm3,8.744,-0.09803,0.8923,NotDiff,-0.3214,1.606,-0.7555,-3.757
Paqr8,-0.4788,7.403,0.3475,NotDiff,8.621,8.781,8.703,8.874
Tram2,0.1776,2.315,0.7497,NotDiff,3.297,3.023,-1.565,-4.271
Tmem14a,0.8814,0.5827,0.9377,NotDiff,1.811,0.6442,2.49,-3.379
Kcnq5,0.5831,1.364,0.8403,NotDiff,0.5682,1.872,1.061,0.1577
Ogfrl1,2.519,-1.162,0.7493,NotDiff,0.7865,2.043,-1.866,1.637
Smap1,5.736,-0.5799,0.5962,NotDiff,3.381,0.3621,2.546,3.847
Sdhaf4,4.447,-0.1865,0.9202,NotDiff,5.678,5.212,5.818,6.239
Lmbrd1,6.252,1.038,0.2684,NotDiff,4.411,4.261,4.754,4.374
Phf3,3.421,0.6442,0.7736,NotDiff,6.234,7.386,5.52,5.871
Ptp4a1,2.691,-0.06581,0.9874,NotDiff,3.748,3.914,2.269,3.774
Prim2,6.723,-0.2465,0.7722,NotDiff,3.154,2.148,2.414,3.083
1700001G17Rik,-1.249,-2.417,0.7871,NotDiff,6.417,6.801,6.855,6.821
Rab23,0.762,2.691,0.6998,NotDiff,-4.271,1.797,0.3335,-0.4807
Bag2,4.449,-1.033,0.5111,NotDiff,2.91,0.9276,2.942,-3.08
Zfp451,3.562,0.09487,0.9763,NotDiff,4.443,3.385,4.728,5.25
Bend6,-0.05418,-2.243,0.7606,NotDiff,3.008,4.402,3.062,3.795
Dst,0.7885,-0.565,0.9418,NotDiff,1.332,-3.139,0.4722,1.755
Ccdc115,5.177,-0.08673,0.9629,NotDiff,0.4099,0.5561,2.009,0.3202
Imp4,7.742,0.03308,0.9755,NotDiff,5.298,4.849,5.916,4.651
Ptpn18,7.336,-0.05257,0.9621,NotDiff,7.579,7.959,7.635,7.797
Arhgef4,-1.628,7.698,0.3707,NotDiff,7.591,6.995,7.497,7.262
Fam168b,5.97,0.07982,0.9539,NotDiff,2.502,1.896,-3.58,-4.271
Plekhb2,7.506,0.96,0.1381,NotDiff,6.117,5.96,5.415,6.392
Hs6st1,0.08212,-4.084,0.5774,NotDiff,7.998,8.023,6.5,7.504
Uggt1,4.459,-0.0889,0.9733,NotDiff,1.792,-4.271,2.723,1.873
Neurl3,8.154,0.2977,0.6935,NotDiff,5.722,2.99,4.044,5.091
Arid5a,8.172,0.2334,0.7472,NotDiff,8.602,7.987,7.96,8.066
Kansl3,1.845,3.235,0.5417,NotDiff,8.484,8.066,8.283,7.857
Lman2l,2.731,-3.521,0.4357,NotDiff,2.373,4.411,3.023,-2.126
Cnnm4,6.296,0.8115,0.4335,NotDiff,4.291,-2.513,4.986,4.502
Cnnm3,3.493,-0.3021,0.9069,NotDiff,6.064,7.458,5.451,6.213
Ankrd39,4.944,-1.404,0.2725,NotDiff,2.744,4.094,3.437,3.719
Sema4c,0.7063,-1.133,0.8676,NotDiff,3.551,5.064,5.518,5.652
Fam178b,-2.169,-8.263,0.3287,NotDiff,1.487,-1.143,0.923,1.746
Cox5b,7.058,-0.4473,0.5822,NotDiff,-4.271,-4.271,1.589,2.288
Actr1b,6.29,-0.8015,0.3966,NotDiff,6.89,6.798,7.018,7.528
Zap70,8.687,0.2109,0.7494,NotDiff,6.405,5.319,6.618,6.822
Tmem131,2.276,2.176,0.6001,NotDiff,8.971,8.592,8.756,8.431
Inpp4a,2.576,-0.2661,0.9465,NotDiff,2.858,3.85,1.951,0.5117
Coa5,6.646,0.6906,0.4252,NotDiff,2.361,2.76,1.878,3.344
Unc50,5.908,1.015,0.3078,NotDiff,6.898,7.151,5.819,6.719
Mgat4a,3.598,-0.1539,0.9545,NotDiff,6.009,6.873,5.345,5.408
2010300C02Rik,3.073,0.3066,0.9174,NotDiff,3.919,3.144,3.238,4.11
Tsga10,-1.87,-3.206,0.7493,NotDiff,3.479,2.849,3.377,2.614
Lipt1,1.293,-0.9028,0.8752,NotDiff,-4.271,-0.3366,1.304,-1.654
Mitd1,5.749,-0.1899,0.8732,NotDiff,1.596,0.1778,1.147,2.352
Mrpl30,7.434,-0.1015,0.9123,NotDiff,5.395,5.97,5.691,5.946
Txndc9,7.574,0.2906,0.724,NotDiff,7.55,7.2,7.548,7.441
Eif5b,4.503,-0.8281,0.6089,NotDiff,7.492,7.951,7.579,7.276
Rev1,1.766,-1.816,0.7225,NotDiff,3.591,4.599,5.401,4.432
Aff3,0.01855,-5.598,0.4358,NotDiff,-0.1708,2.518,0.9706,3.856
Chst10,4.361,0.4442,0.788,NotDiff,-3.76,-0.2815,1.939,3.421
Pdcl3,6.543,-0.02562,0.9856,NotDiff,4.954,4.03,4.952,3.519
Rpl31,6.808,-0.5221,0.539,NotDiff,6.543,6.55,6.248,6.832
Cnot11,6.362,0.6811,0.4539,NotDiff,6.915,6.137,7.128,7.054
Rnf149,5.015,0.5041,0.7276,NotDiff,6.971,6.438,5.798,6.244
Creg2,-4.394,3.872,0.7468,NotDiff,5.09,5.535,4.344,5.097
Map4k4,3.339,0.5569,0.8123,NotDiff,0.9433,-4.271,-4.271,-4.271
Il1rl2,-2.892,6.59,0.489,NotDiff,2.814,4.494,3.407,2.666
Il1rl1,-0.04711,-4.615,0.5407,NotDiff,5.346,6.655,4.024,3.727
Il18r1,5.238,-0.1147,0.9419,NotDiff,-0.2823,1.279,-4.271,-4.271
Il18rap,6.132,-0.1348,0.9082,NotDiff,0.8929,-4.271,3.593,1.403
Mrps9,6.431,-0.3791,0.6977,NotDiff,5.382,5.01,4.913,5.652
Tgfbrap1,0.292,-2.904,0.6861,NotDiff,5.991,6.156,6.153,6.233
AI597479,4.348,0.5514,0.7464,NotDiff,6.339,6.137,6.592,6.657
Nck2,-0.3154,7.269,0.3724,NotDiff,-0.8414,-1.245,1.734,1.793
Uxs1,3.905,-1.022,0.5962,NotDiff,4.304,5.03,3.86,4.209
Tpp2,5.916,0.07284,0.9576,NotDiff,5.009,3.483,6.192,6.434
Tex30,6.805,-0.1413,0.8884,NotDiff,4.405,2.065,-3.58,-2.832
Kdelc1,3.36,-0.8846,0.7294,NotDiff,3.668,3.029,4.761,4.179
Bivm,0.0925,-4.437,0.5511,NotDiff,6.051,5.839,5.907,5.869
Ercc5,2.815,-0.2762,0.9391,NotDiff,6.504,7.029,6.46,7.228
Gulp1,-4.366,3.933,0.7432,NotDiff,1.957,3.988,4.373,3.149
Wdr75,5.486,-0.451,0.7275,NotDiff,1.932,-4.271,0.6869,3.822
Dnah7b,-4.223,-4.308,0.7275,NotDiff,2.112,3.159,4.052,1.975
Slc39a10,0.2139,-3.494,0.6413,NotDiff,1.055,-4.271,-4.271,-4.271
Nabp1,6.517,0.4398,0.6449,NotDiff,5.183,5.426,5.165,6.173
Myo1b,-4.271,4.138,0.7351,NotDiff,-4.271,-4.271,-4.271,1.627
Stat4,8.737,-0.1507,0.8104,NotDiff,2.557,-4.271,2.836,1.519
Gls,5.705,0.3448,0.7648,NotDiff,6.862,6.648,5.897,6.663
Nab1,7.712,-0.121,0.8834,NotDiff,1.429,-4.271,-4.271,-4.271
Tmem194b,4.926,-0.01758,0.9937,NotDiff,8.699,8.613,8.965,8.673
Mfsd6,4.197,-0.1563,0.9423,NotDiff,9.56,9.691,8.251,8.182
Inpp1,7.71,0.3963,0.5884,NotDiff,5.987,5.859,4.802,6.176
Hibch,4.707,-0.1983,0.9135,NotDiff,7.88,7.415,7.669,7.885
1700019D03Rik,3.577,-2.946,0.2625,NotDiff,5.247,4.552,4.887,5.025
Pms1,3.776,-1.424,0.4779,NotDiff,4.125,4.233,3.582,4.861
Ormdl1,6.703,-0.6438,0.4335,NotDiff,7.763,8.076,7.348,7.653
Osgepl1,4.333,-0.9404,0.5607,NotDiff,4.519,4.851,3.937,5.532
Asnsd1,7.529,-0.513,0.5007,NotDiff,3.172,0.8308,5.12,5.226
Stk17b,8.653,-0.1327,0.8605,NotDiff,3.077,3.179,3.779,5.088
Hecw2,-3.491,2.902,0.8007,NotDiff,6.543,6.211,6.944,7.117
Gtf3c3,3.095,2.391,0.4381,NotDiff,3.81,3.974,4.532,5.027
Pgap1,1.261,-0.4749,0.9423,NotDiff,7.711,6.807,7.677,7.922
Ankrd44,5.744,0.9032,0.4252,NotDiff,8.563,8.647,8.204,9.198
Sf3b1,7.991,0.05469,0.953,NotDiff,-4.271,2.7,-3.115,-4.271
