"FeatureName,KO - CD8a+ Log2 Fold Change,TG - CD8a+ Log2 Fold Chang,GeneName,X_LogCPM,Y_LogFC,AdjPval,DGE_Category,BATF_invivo_logCPM,BATF_invivo_logCPM,pMIG_invivo_logCPM,pMIG_invivo_logCP"
"['Serpine2', '7.853312782', '-7.85331278', 'Serpine2', '6.287', '0.6345', '0.5148', 'NotDiff', '5.978', '4.835', '6.114', '3.51']"
"['Lag3', '4.468179836', '-4.46817983', 'Lag3', '7.019', '-0.5098', '0.5537', 'NotDiff', '7.196', '7.752', '7.612', '7.71']"
"['Havcr2', '4.095270336', '-4.09527033', 'Havcr2', '6.862', '0.9187', '0.1923', 'NotDiff', '1.648', '4.094', '2.288', '4.72']"
"['Rgs16', '4.273848436', '-4.27384843', 'Rgs16', '9.716', '1.073', '0.006581', 'UpBatf', '1.746', '2.235', '1.322', '3.95']"
"['Cnih2', '5.469281971', '-5.46928197', 'Cnih2', '2.181', '1.51', '0.729', 'NotDiff', '6.759', '6.191', '7.858', '7.60']"
"['Prf1', '3.801924608', '-3.80192460', 'Prf1', '8.8', '0.1884', '0.7622', 'NotDiff', '1.521', '3.499', '0.4045', '-0.19']"
"['Bnip3', '4.236274132', '-4.23627413', 'Bnip3', '5.445', '-0.9045', '0.4632', 'NotDiff', '6.206', '4.857', '6.409', '5.84']"
"['Zbtb32', '4.093370803', '-4.09337080', 'Zbtb32', '4.816', '-1.649', '0.1913', 'NotDiff', '2.871', '-1.143', '3', '3.02']"
"['Ccl4', '6.989646285', '-6.98964628', 'Ccl4', '3.823', '0.5711', '0.7712', 'NotDiff', '5.114', '3.738', '5.707', '5.53']"
"['Tg', '4.942618111', '-4.94261811', 'Tg', '4.474', '-0.7344', '0.6829', 'NotDiff', '4.446', '4.387', '5.176', '5.04']"
"['Alcam', '4.215143965', '-4.21514396', 'Alcam', '4.898', '1.331', '0.3471', 'NotDiff', '5.999', '6.406', '5.183', '5.84']"
"['Slc2a3', '3.345874261', '-3.34587426', 'Slc2a3', '6.89', '1.608', '0.02266', 'UpBatf', '7.57', '7.725', '7.357', '7.65']"
"['Sv2c', '3.99176576', '-3.9917657', 'Sv2c', '5.459', '0.8174', '0.4632', 'NotDiff', '0.4799', '-3.597', '1.589', '-4.27']"
"['Sema7a', '4.655094035', '-4.65509403', 'Sema7a', '-1.633', '9.108', '0.2494', 'NotDiff', '3.054', '-4.271', '-3.58', '2.43']"
"['Mt1', '2.932601753', '-2.93260175', 'Mt1', '5.891', '0.2016', '0.8534', 'NotDiff', '2.059', '4.67', '3.624', '3.32']"
"['Fam20a', '4.255950182', '-4.25595018', 'Fam20a', '3.944', '0.7091', '0.7242', 'NotDiff', '7.67', '7.487', '7.972', '7.63']"
"['Gimap7', '2.588724393', '-2.58872439', 'Gimap7', '8.331', '-0.03025', '0.9755', 'NotDiff', '-4.271', '-4.271', '-4.271', '0.720']"
"['Camk2n1', '2.696058842', '-2.69605884', 'Camk2n1', '2.604', '1.665', '0.6604', 'NotDiff', '7.356', '7.705', '6.852', '6.77']"
"['Myo10', '3.398148794', '-3.39814879', 'Myo10', '0.4748', '4.569', '0.4899', 'NotDiff', '3.476', '-3.597', '1.963', '3.44']"
"['Gpr65', '3.023174465', '-3.02317446', 'Gpr65', '7.264', '0.1225', '0.8991', 'NotDiff', '5.245', '4.247', '6.305', '5.23']"
"['Ankrd37', '3.186135518', '-3.18613551', 'Ankrd37', '1.911', '2.454', '0.6028', 'NotDiff', '4.488', '5.029', '5.626', '5.81']"
"['Gm8369', '2.434153747', '-2.43415374', 'Gm8369', '6.007', '-0.05504', '0.9709', 'NotDiff', '6.714', '6.148', '6.467', '6.44']"
"['Tmem163', '2.514827423', '-2.51482742', 'Tmem163', '4.71', '1.95', '0.1253', 'NotDiff', '2.485', '3.774', '2.161', '3.94']"
"['Tnip3', '4.312312624', '-4.31231262', 'Tnip3', '5.762', '0.5606', '0.6082', 'NotDiff', '5.316', '6.084', '5.455', '5.91']"
"['Ccl3', '6.87436981', '-6.8743698', 'Ccl3', '4.644', '-0.3372', '0.8192', 'NotDiff', '5.918', '6.892', '7.143', '7.07']"
"['Slc37a2', '3.35586899', '-3.3558689', 'Slc37a2', '3.603', '-0.2695', '0.916', 'NotDiff', '6.71', '6.903', '6.568', '6.99']"
"['Runx2', '2.283279082', '-2.28327908', 'Runx2', '5.45', '-0.04523', '0.9809', 'NotDiff', '6.903', '7.258', '7.387', '7.46']"
"['Csf1', '3.225244555', '-3.22524455', 'Csf1', '2.868', '4.807', '0.2412', 'NotDiff', '5.173', '4.952', '5.804', '5.53']"
"['Tpi1', '2.138117186', '-2.13811718', 'Tpi1', '10.27', '-0.8551', '0.03567', 'Up pMIG', '-4.271', '-3.139', '-4.271', '1.70']"
"['Sat1', '2.234365945', '-2.23436594', 'Sat1', '7.494', '-0.03711', '0.974', 'NotDiff', '3.438', '-4.271', '1.247', '-4.27']"
"['Gzmb', '2.233870735', '-2.23387073', 'Gzmb', '10.78', '1.368', '9.83E-05', 'UpBatf', '1.332', '3.565', '-4.271', '2.85']"
"['Kcnk7', '3.09176155', '-3.0917615', 'Kcnk7', '-0.1351', '5.317', '0.4746', 'NotDiff', '5.301', '5.783', '3.779', '4.70']"
