chr,start,end,length,abs_summit,pileup,-log(10) values,fold_enrichment,-log(10) values,name,Annotation,Accession,Symbol,Detailed Annotation
chr1,6341448,6341770,323,6341492,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_1,Intergenic,NM_009826;NM_001195732,Rb1cc1;Fam150a,Intergenic
chr1,7535602,7535870,269,7535845,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_2,Intergenic,,,L1ME1|LINE|L1
chr1,10423863,10424143,281,10424105,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_3,Intron,NM_001289497;NM_177834,Cpa6,L1Md_A|LINE|L1
chr1,17808714,17809063,350,17809000,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_4,Intergenic,NM_031402,Crispld1,Intergenic
chr1,22160894,22161167,274,22161009,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_5,Intergenic,,,L1Md_T|LINE|L1
chr1,28083104,28083357,254,28083220,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_7,Intergenic,,,Intergenic
chr1,28307050,28307342,293,28307269,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_8,Intergenic,,,L1Md_T|LINE|L1
chr1,28996438,28996689,252,28996463,10,3.58946,2.78166,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_9,Intergenic,,,Lx7|LINE|L1
chr1,31890799,31891155,357,31891084,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_10,Intergenic,,,ID_B1|SINE|B4
chr1,49309344,49309741,398,49309348,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_11,Intergenic,,,"intron (NR_151585, intron 1 of 4)"
chr1,49311848,49312108,261,49311904,12,4.86013,3.28741,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_12,Intergenic,,,"intron (NR_151585, intron 2 of 4)"
chr1,50091325,50091631,307,50091429,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_13,Intergenic,,,L1_Rod|LINE|L1
chr1,50300418,50300897,480,50300823,11,4.20853,3.03473,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_14,Intergenic,,,Intergenic
chr1,54722279,54722536,258,54722476,10,3.58977,2.78184,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_15,Intron,NM_001081433,Ankrd44,MER102c|DNA|hAT-Charlie
chr1,57117938,57118213,276,57117985,9,3.00683,2.52894,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_16,Intergenic,NR_037990,BC055402,Intergenic
chr1,61787353,61787601,249,61787535,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_17,Intron,NM_001081050,Pard3b,"intron (NM_001081050, intron 2 of 22)"
chr1,69959174,69959586,413,69959514,11,3.34333,2.56153,0,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_19,Intron,NM_029160;NM_025728,Spag16,"intron (NM_025728, intron 1 of 7)"
chr1,70560318,70560654,337,70560566,12,4.86052,3.28763,0.184449,8038_CK_13_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_20,Intron,NM_029160;NM_025728,Spag16,"intron (NM_025728, intron 7 of 7)"
