chr,start,end,length,abs_summit,pileup,-log(10) values,fold_enrichment,-log(10) values,name,Annotation,Accession,Symbol,Detailed Annotation
chr1,3905425,3905659,235,3905455,10,3.6805,2.83393,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_1,Intergenic,,,Intergenic
chr1,6504058,6504383,326,6504306,12,4.97234,3.34919,0.697082,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_2,Intron,NM_001244692;NM_001244693,St18,L1_Mus1|LINE|L1
chr1,9883006,9883295,290,9883169,13,5.63396,3.58948,1.25681,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_3,Intron,NM_001037759;NM_133220;NM_177547,Sgk3,"intron (NM_001037759, intron 10 of 16)"
chr1,20275499,20275770,272,20275595,12,4.97234,3.34919,0.697082,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_4,Exon,NM_153179,Pkhd1,"exon (NM_153179, exon 52 of 67)"
chr1,27496399,27496657,259,27496537,12,4.97234,3.34919,0.697082,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_6,Intergenic,,,Intergenic
chr1,36296836,36297567,732,36296984,26,6.07431,2.71776,1.61182,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_7,Intergenic,NR_033310;NM_001172206;NM_001172205;NM_001277076;NM_153408;NM_172652;NM_145996;NR_105863;NM_001290727;NM_001290726;NM_198899,Kansl3;Mir6898;Fer1l5;Arid5a;Neurl3;Uggt1,Intergenic
chr1,36766770,36767073,304,36766956,15,6.94814,4.02191,2.37179,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_8,Promoter,NM_001289766;NM_001289765,Zap70,promoter-TSS (NM_001289765)
chr1,40465550,40465807,258,40465672,12,4.97234,3.34919,0.697082,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_9,Promoter,NM_008365;NM_001161843;NM_001161842,Il18r1,promoter-TSS (NM_001161843)
chr1,40475819,40476260,442,40475835,11,4.25068,3.05835,0.20119,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_10,Intron,NM_008365;NM_001161843;NM_001161842,Il18r1,"intron (NM_008365, intron 3 of 10)"
chr1,43496424,43496714,291,43496593,12,4.97234,3.34919,0.697082,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_11,Intron,NM_010879,Nck2,"intron (NM_010879, intron 1 of 4)"
chr1,43562416,43562659,244,43562542,17,3.47815,2.26439,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_12,Intron,NM_010879,Nck2,"intron (NM_010879, intron 4 of 4)"
chr1,51111991,51112316,326,51112116,10,3.6805,2.83393,0,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_13,Intron,NM_019790,Tmeff2,"intron (NM_019790, intron 5 of 9)"
chr1,51572541,51572807,267,51572733,15,5.66947,3.37388,1.25782,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_14,Intergenic,NM_028696,Nabp1,ORR1E|LTR|ERVL-MaLR
chr1,51585006,51585292,287,51585197,34,17.7526,5.86885,12.4239,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_15,Intergenic,,,ORR1F|LTR|ERVL-MaLR
chr1,52009141,52009376,236,52009248,15,6.28973,3.68266,1.8039,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_16,Promoter,NM_011487,Stat4,"intron (NM_011487, intron 1 of 23)"
chr1,52011399,52012073,675,52011501,21,5.39313,2.76759,1.05312,8038_CK_12_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_17,Exon,NM_011487,Stat4,MIR3|SINE|MIR
