chr,start,end,length,abs_summit,pileup,-log(10) values,fold_enrichment,-log(10) values,name,Annotation,Accession,Symbol,Detailed Annotation
chr1,4785284,4786118,835,4785677,43.45,35.5485,11.511,31.7796,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_1,Promoter,NR_033530;NM_025300;NM_001177658,Mrpl15,promoter-TSS (NR_033530)
chr1,4807537,4808137,601,4808022,25.68,15.0664,6.47791,12.044,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_2,Promoter,NM_008866,Lypla1,promoter-TSS (NM_008866)
chr1,4857434,4858042,609,4857800,30.61,16.9306,6.32251,13.8097,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_3,Promoter,NM_011541;NM_001159750;NM_001159751,Tcea1,promoter-TSS (NM_001159751)
chr1,4858443,4858736,294,4858637,16.79,7.66459,4.44688,5.0889,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_4,Promoter,NM_011541;NM_001159750;NM_001159751,Tcea1,"intron (NM_001159751, intron 1 of 9)"
chr1,5082859,5083389,531,5083149,23.7,12.5637,5.66816,9.67862,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_5,Promoter,NM_133826,Atp6v1h,promoter-TSS (NM_001310442)
chr1,6214659,6215014,356,6214868,35.55,21.3177,7.19888,18.0076,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_6,Promoter,NM_009826,Rb1cc1,"5' UTR (NM_009826, exon 1 of 24)"
chr1,9545008,9545858,851,9545266,44.44,23.6063,6.49108,20.2072,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_7,Promoter,NM_021511;NR_027664;NM_175236,Rrs1;Adhfe1,promoter-TSS (NM_021511)
chr1,9699982,9701266,1285,9700785,39.5,17.0669,5.06251,13.9403,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_8,Promoter,NM_008651;NM_001290397,Mybl1,promoter-TSS (NM_001290397)
chr1,9747271,9748654,1384,9748233,26.66,13.26,5.4484,10.3311,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_9,Promoter,NR_040462;NM_173443,1700034P13Rik;Vcpip1,"exon (NM_173443, exon 1 of 3)"
chr1,9848160,9848774,615,9848356,33.58,12.6807,4.32188,9.7883,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_10,Promoter,NM_001037759,Sgk3,CpG
chr1,9859042,9859425,384,9859169,31.6,20.9279,7.91677,17.6397,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_11,Intron,NM_001037759;NM_133220;NM_177547,Sgk3,"intron (NM_001037759, intron 1 of 16)"
chr1,9942913,9944258,1346,9943974,41.48,32.3801,10.6188,28.6982,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_12,Promoter,NR_024067;NR_004410,Snord87;Snhg6,"intron (NR_024067, intron 1 of 3)"
chr1,10037917,10038607,691,10038135,63.2,25.159,4.93847,21.7106,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_13,Promoter,NM_026493;NM_013715;NR_102282;NM_001277101,Cspp1;Cops5,promoter-TSS (NM_001277101)
chr1,10039755,10040235,481,10040088,44.44,33.8314,10.427,30.1059,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_14,Promoter,NM_026493;NM_013715;NR_102282;NM_001277101,Cspp1;Cops5,CpG
chr1,10232110,10233368,1259,10233207,27.65,10.202,4.09286,7.45765,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_15,Promoter,NM_001102430,Arfgef1,promoter-TSS (NM_001102430)
chr1,13155067,13155889,823,13155523,131.34,165.011,34.2707,159.708,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_16,Intron,NM_008678;NM_001077695,Ncoa2,"intron (NM_008678, intron 16 of 22)"
chr1,13161470,13161732,263,13161539,15.8,7.17867,4.35061,4.63192,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_17,Intron,NM_008678;NM_001077695,Ncoa2,"intron (NM_008678, intron 14 of 22)"
chr1,13267330,13267659,330,13267459,26.66,13.452,5.53251,10.5138,8038_CK_7_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_18,Intron,NM_008678;NM_001077695,Ncoa2,"intron (NM_008678, intron 2 of 22)"
