chr,start,end,length,abs_summit,pileup,-log(10) values,fold_enrichment,-log(10) values,name,Annotation,Accession,Symbol,Detailed Annotation
chr1,4785283,4786042,760,4785702,20,14.1099,6.94147,10.5825,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_1,Promoter,NR_033530;NM_025300;NM_001177658,Mrpl15,promoter-TSS (NR_033530)
chr1,4807735,4808027,293,4807820,14,6.39368,3.86722,3.51915,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_2,Promoter,NM_008866,Lypla1,promoter-TSS (NM_008866)
chr1,4857535,4858154,620,4857773,16,7.91993,4.38285,4.89042,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_3,Promoter,NM_011541;NM_001159750;NM_001159751,Tcea1,promoter-TSS (NM_001159751)
chr1,5082539,5083196,658,5083013,13,7.46679,4.62765,4.46665,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_4,Promoter,NM_133826,Atp6v1h,promoter-TSS (NM_001310442)
chr1,6214264,6214857,594,6214609,20,5.33381,2.80854,2.58491,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_5,Promoter,NM_009826,Rb1cc1,promoter-TSS (NM_009826)
chr1,9545040,9545523,484,9545184,27,13.4698,5.25189,9.99179,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_6,Promoter,NM_021511,Rrs1,promoter-TSS (NM_021511)
chr1,9699988,9700690,703,9700474,30,18.1866,6.74141,14.4402,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_7,Promoter,NM_008651;NM_001290397,Mybl1,promoter-TSS (NM_001290397)
chr1,9748080,9748556,477,9748553,17,6.13615,3.38465,3.29156,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_8,Promoter,NR_040462;NM_173443,1700034P13Rik;Vcpip1,promoter-TSS (NM_173443)
chr1,9943723,9944254,532,9944077,32,27.6775,10.908,23.5651,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_9,Promoter,NR_024067;NR_004410,Snord87;Snhg6,CpG
chr1,10039809,10040254,446,10040106,33,26.9485,10.2032,22.8609,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_10,Promoter,NM_026493;NM_013715;NR_102282;NM_001277101,Cspp1;Cops5,CpG
chr1,10232201,10232479,279,10232337,14,8.34049,4.95819,5.26047,8038_CK_15_fastq_vs_8038_CK_1_fastq.mm10.macs2_peak_11,Promoter,NM_001102430,Arfgef1,CpG
